id,match_number,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
335982,1,2007/08,Bangalore,2008-04-18,T20,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140,223,20,No,,"Asad Rauf,RE Koertzen",AM Saheba
335983,2,2007/08,Chandigarh,2008-04-19,T20,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,241,20,No,,"MR Benson,SL Shastri",RB Tiffin
335984,3,2007/08,Delhi,2008-04-19,T20,MF Maharoof,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9,130,20,No,,"Aleem Dar,GA Pratapkumar",IL Howell
335985,5,2007/08,Mumbai,2008-04-20,T20,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5,166,20,No,,"SJ Davis,DJ Harper",AV Jayaprakash
335986,4,2007/08,Kolkata,2008-04-20,T20,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,111,20,No,,"BF Bowden,K Hariharan",Asad Rauf
335987,6,2007/08,Jaipur,2008-04-21,T20,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,167,20,No,,"Aleem Dar,RB Tiffin",I Shivram
335988,7,2007/08,Hyderabad,2008-04-22,T20,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9,143,20,No,,"IL Howell,AM Saheba",MR Benson
335989,8,2007/08,Chennai,2008-04-23,T20,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,209,20,No,,"DJ Harper,GA Pratapkumar",BF Bowden
335990,9,2007/08,Hyderabad,2008-04-24,T20,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,215,20,No,,"Asad Rauf,MR Benson",SL Shastri
335991,10,2007/08,Chandigarh,2008-04-25,T20,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66,183,20,No,,"Aleem Dar,AM Saheba",RE Koertzen
335992,12,2007/08,Bangalore,2008-04-26,T20,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,136,20,No,,"MR Benson,IL Howell",GA Pratapkumar
335993,11,2007/08,Chennai,2008-04-26,T20,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9,148,20,No,,"BF Bowden,AV Jayaprakash",SJ Davis
335994,14,2007/08,Mumbai,2008-04-27,T20,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10,155,20,No,,"Asad Rauf,SL Shastri",DJ Harper
335995,13,2007/08,Chandigarh,2008-04-27,T20,SM Katich,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4,159,20,No,,"RE Koertzen,I Shivram",Aleem Dar
335996,15,2007/08,Bangalore,2008-04-28,T20,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13,179,20,No,,"BR Doctrove,RB Tiffin",K Hariharan
335997,16,2007/08,Kolkata,2008-04-29,T20,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,138,20,No,,"BF Bowden,AV Jayaprakash",MR Benson
335998,17,2007/08,Delhi,2008-04-30,T20,GD McGrath,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10,192,20,No,,"Aleem Dar,I Shivram",IL Howell
335999,19,2007/08,Hyderabad,2008-05-01,T20,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7,165,20,No,,"BR Doctrove,RB Tiffin",SJ Davis
336000,18,2007/08,Jaipur,2008-05-01,T20,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45,197,20,No,,"RE Koertzen,GA Pratapkumar",Asad Rauf
336001,20,2007/08,Chennai,2008-05-02,T20,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8,170,20,No,,"BF Bowden,K Hariharan",MR Benson
336002,51,2007/08,Hyderabad,2008-05-25,T20,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,wickets,5,166,20,No,,"Asad Rauf,RE Koertzen",GA Pratapkumar
336003,22,2007/08,Chandigarh,2008-05-03,T20,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9,179,20,No,,"DJ Harper,I Shivram",SJ Davis
336004,23,2007/08,Mumbai,2008-05-04,T20,SM Pollock,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29,163,20,No,,"IL Howell,RE Koertzen",BF Bowden
336005,24,2007/08,Jaipur,2008-05-04,T20,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8,110,20,No,,"Asad Rauf,AV Jayaprakash",Aleem Dar
336006,25,2007/08,Bangalore,2008-05-05,T20,S Sreesanth,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,127,20,No,,"SJ Davis,BR Doctrove",SL Shastri
336007,26,2007/08,Chennai,2008-05-06,T20,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7,145,20,No,,"MR Benson,RB Tiffin",S Ravi
336008,27,2007/08,Mumbai,2008-05-07,T20,A Nehra,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7,104,20,No,,"DJ Harper,RE Koertzen",BF Bowden
336009,28,2007/08,Delhi,2008-05-08,T20,MS Dhoni,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4,188,20,No,,"Aleem Dar,RB Tiffin",K Hariharan
336010,29,2007/08,Kolkata,2008-05-08,T20,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5,130,16,No,,"Asad Rauf,IL Howell",BR Doctrove
336011,30,2007/08,Jaipur,2008-05-09,T20,YK Pathan,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,wickets,8,141,20,No,,"MR Benson,AM Saheba",SJ Davis
336012,55,2007/08,Bangalore,2008-05-28,T20,CRD Fernando,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9,123,18,No,,"BF Bowden,AV Jayaprakash",BR Doctrove
336013,31,2007/08,Chennai,2008-05-10,T20,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,runs,18,182,20,No,,"AV Jayaprakash,BG Jerling",I Shivram
336014,32,2007/08,Hyderabad,2008-05-11,T20,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23,205,20,No,,"IL Howell,AM Saheba",BF Bowden
336015,33,2007/08,Jaipur,2008-05-11,T20,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,wickets,3,157,20,No,,"SJ Davis,RE Koertzen",MSS Ranawat
